wavelength,molar abs,stdev
190,-196.88225640191,0.762969725961899
191,107.529702363191,0.999038233791943
192,-107.966784724483,0.493101210413174
193,-113.593993010344,0.310859954212203
194,-41.6012954711915,0.58920961359265
195,2.0902336968316,0.556541246611325
196,227.985126354076,0.316092630064749
197,-0.503760443793407,0.554646235260876
198,-256.77724202474,0.79855827119879
199,-115.933850606283,0.525299858562945
200,30.2031396936487,0.79436261423271
201,-110.170478820801,0.548463095912683
202,27.3836192378291,0.643251570544381
203,114.818246629503,1.23006565818151
204,72.5173158998844,0.646327988071121
205,116.063144825123,0.455660337064175
206,14.166576244213,1.53947884596947
207,-116.292538113064,0.90442974523315
208,-116.640805844907,0.345311174347003
209,-33.5893715752496,0.209558571578151
210,93.6000527275933,0.273221175590428
211,142.309851469817,0.508157935394782
212,-20.6308802851924,0.631448665365751
213,-64.5382224188911,0.482670893473234
214,-70.8012135823567,0.671454719567662
215,105.473121360496,0.337873689965783
216,49.0735287136504,0.15206178834798
217,13.7114616676613,0.25392127359399
218,214.369129604764,0.170395465206643
219,-70.4068515918874,0.264322114889999
220,-160.923789695457,0.596634134155148
221,212.339745980722,0.621437601358988
222,213.961875350387,0.418041757642478
223,49.4285074869793,0.252278435819805
224,-27.5649755972403,0.459021773742305
225,165.134280169452,0.781562437524988
226,194.908698753074,0.392437202629685
227,70.2034194381149,0.242250495839276
228,39.5567420676903,0.617397610596537
229,145.127076043023,1.09257749653629
230,124.38801518193,0.695466099607397
231,40.7931631582756,1.02301995299151
232,102.341007656522,0.668082958072714
233,135.546534502948,0.973714597398797
234,84.9463413379814,0.753713948920196
235,187.402575457538,0.855031637755294
236,272.35058537236,0.441924474555254
237,258.028869628907,0.31588740252536
238,219.022530449762,0.279324190097865
239,263.877718890156,0.296360574037354
240,174.111887613933,0.248442567017903
241,200.493874726474,0.29886003710323
242,215.353180214213,0.193595972671866
243,221.583675808379,0.131564390481519
244,224.615477102778,0.145642109794894
245,235.088057341403,0.174244585388211
246,258.397447091567,0.327653819062871
247,261.061553955085,0.315959850995987
248,271.036457485632,0.174378627069413
249,282.741926687746,0.121986299214481
250,295.358331468384,0.133185368134628
251,306.194897404441,0.0789492046410358
252,317.833962617119,0.043992758675229
253,330.011147393149,0.0199034512167725
254,345.227197717773,0.00768509937423162
255,357.322083932427,0.00502132413438576
256,368.793549714322,0.00426788084584487
257,379.516381157842,0.00585810329624113
258,390.119826705458,0.0045169108516885
259,400.942087526789,0.00405229313298287
260,408.316992300674,0.00303768728958235
261,413.399369981737,0.00198821494510916
262,417.752540023468,0.00289209405839811
263,423.113072713504,0.00208191624765754
264,421.988796658343,0.00201479583881475
265,422.306511490882,0.00199143273884818
266,419.54385828145,0.00173003986201778
267,416.656520985494,0.00154223261547865
268,409.720836216424,0.00247437155769342
269,407.874769988978,0.00191866758632425
270,400.973523459207,0.00120785628827901
271,395.683809917874,0.00175731307458378
272,385.432164229632,0.00289000014691204
273,373.919372561216,0.00302416727095642
274,361.66183189435,0.00270808042971578
275,346.055658132564,0.00195413801625349
276,326.068940344267,0.00195276733938354
277,305.076449365097,0.00235880348723596
278,284.184800614844,0.00188836376868464
279,265.335604359232,0.00171856239768864
280,247.634702623528,0.00151208363547821
281,231.311860275537,0.00196133319312381
282,215.573761569203,0.00192705276288881
283,195.672344653443,0.00153060182165227
284,173.091985941273,0.00141639868717942
285,150.283805032412,0.000724772402836633
286,128.436009482801,0.000687693749431165
287,109.86461503076,0.000637648071741614
288,93.7077826647778,0.000816327388960968
289,79.8388856288253,0.000979181592232327
290,68.2261347795344,0.000668878638989271
291,58.202311308749,0.000477987808466883
292,49.4145557201422,0.00047172861655001
293,42.0083916510361,0.000411483668739918
294,35.8132173636795,0.000298358347345482
295,30.8592325460441,0.000315647470431526
296,26.759139463396,0.000313026071103045
297,23.6512208934567,0.000226469038109802
298,21.1969224561044,0.00020906577045945
299,19.3653380418629,0.000279509561343248
300,17.920168351026,0.000190424666888738
301,16.7282521957433,0.00017319628822199
302,15.7268943244764,0.000205286011460476
303,14.8505737848488,0.000179341491667427
304,14.2693625028993,0.000127003498124827
305,13.5984352387726,0.000104358728941953
306,12.9870243711795,0.000102034238622115
307,12.5241395134362,8.5185860632917E-05
308,11.9549377077958,0.000115789965654135
309,11.5392069169009,0.000206914362940949
310,11.1174716195132,0.000173385229683507
311,10.8114136144575,0.000101889289296703
312,10.5512734154612,8.98885472713332E-05
313,10.2796539853055,0.000108396319366501
314,10.1339551011333,0.000124248795035983
315,9.99585054394214,0.000121880174614485
316,9.73677093282848,0.000113561349603592
317,9.51795792303876,0.000119694675277049
318,9.29578980718468,9.85958118780912E-05
319,8.98902773477928,8.24569888898386E-05
320,8.78187221890307,0.000108450843626629
321,8.48676740968728,0.000116273981362361
322,8.12896813121208,7.37311142338988E-05
323,7.84622747446691,0.000101071482082304
324,7.5242812837647,0.000141921350280581
325,7.32119242773704,0.000124398763461163
326,7.16649518066762,0.00010044640100132
327,6.81965193029964,8.82780003859475E-05
328,6.73153898193531,0.000112989278822314
329,6.55335910972963,0.000146251483398616
330,6.46754705354342,8.75927925354388E-05
331,6.42783238112074,8.7429103970306E-05
332,6.35350648671144,8.32350640701098E-05
333,6.14884929944557,8.89016814149584E-05
334,5.98481642994341,8.89119111694845E-05
335,5.91509696671356,0.000124898571348152
336,5.76573451780407,0.000155147306702767
337,5.5309020672723,0.000149644841364656
338,5.3404064229433,0.000101010723746737
339,5.07239049930234,0.000136358753598901
340,4.98964603567002,0.000168943075416065
341,4.99539444079427,0.000137993081605637
